synthesizer,n_active,outcome_noise_probability,method,seed_count,point_exact_recovery_mean,point_exact_recovery_median,point_exact_recovery_std,point_exact_recovery_q025,point_exact_recovery_q975,normalized_mean_absolute_error_mean,normalized_mean_absolute_error_median,normalized_mean_absolute_error_std,normalized_mean_absolute_error_q025,normalized_mean_absolute_error_q975,top_choice_accuracy_mean,top_choice_accuracy_median,top_choice_accuracy_std,top_choice_accuracy_q025,top_choice_accuracy_q975,point_width_mean,point_width_median,point_width_std,point_width_q025,point_width_q975,outcome_consistent_mean,outcome_consistent_median,outcome_consistent_std,outcome_consistent_q025,outcome_consistent_q975,feasible_mean,feasible_median,feasible_std,feasible_q025,feasible_q975,solver_success_mean,solver_success_median,solver_success_std,solver_success_q025,solver_success_q975,n_candidates,n_rounds,mean_compatible_states_mean,mean_compatible_states_median,mean_compatible_states_std,mean_compatible_states_q025,mean_compatible_states_q975,coverage_mean,coverage_median,coverage_std,coverage_q025,coverage_q975,width_mean,width_median,width_std,width_q025,width_q975,posterior_center_error_mean,posterior_center_error_median,posterior_center_error_std,posterior_center_error_q025,posterior_center_error_q975,accepted_posterior_draws_mean,accepted_posterior_draws_median,accepted_posterior_draws_std,accepted_posterior_draws_q025,accepted_posterior_draws_q975,accepted_posterior_states_mean,accepted_posterior_states_median,accepted_posterior_states_std,accepted_posterior_states_q025,accepted_posterior_states_q975
internal_percentage,6.0,0.1,maximum_entropy_center,20,0.0,0.0,0.0,0.0,0.0,0.10297954338453134,0.1030163560403411,0.0022017220236216265,0.10028946027416469,0.1076923268232317,0.11200000000000002,0.114,0.016,0.0838,0.14,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
internal_percentage,6.0,0.2,maximum_entropy_center,20,0.0,0.0,0.0,0.0,0.0,0.10349824537968777,0.10375860622613545,0.0012789967991294893,0.10104873933042696,0.10548387216613263,0.1048,0.10400000000000001,0.02208500324702382,0.0697,0.144,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
external_ordinal,,,maximum_entropy_rank_center,20,0.0,0.0,0.0,0.0,0.0,0.2758810021275986,0.2761843477606757,0.0016384758388798242,0.27247280828372117,0.27844205874006345,0.14763888888888885,0.14444444444444443,0.013406081994301936,0.1232638888888889,0.1695833333333333,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,0.0,1.0,1.0,,,,,,6.0,3.0,145.60597222222225,145.8,1.8861685508741488,142.61479166666666,148.67590277777776,,,,,,,,,,,,,,,,,,,,,,,,,
external_ordinal,,,maximum_entropy_rank_center,20,0.0,0.0,0.0,0.0,0.0,0.2672847160066346,0.2675940255605005,0.0017277546946618113,0.2646788297032185,0.26994974167798014,0.06402777777777777,0.06666666666666667,0.012760444638351007,0.041666666666666664,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,0.0,1.0,1.0,,,,,,7.0,3.0,889.2158333333333,891.2361111111111,15.75041644457022,855.8770833333333,911.4070833333333,,,,,,,,,,,,,,,,,,,,,,,,,
external_ordinal,,,maximum_entropy_rank_center,20,0.0,0.0,0.0,0.0,0.0,0.2749765682078792,0.27483220747935455,0.0015080742954388584,0.27229461127892884,0.27748749006934614,0.16468750000000001,0.16666666666666669,0.014121363968173801,0.13817708333333334,0.18562499999999998,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,0.0,1.0,1.0,,,,,,7.0,4.0,672.3436458333333,673.8979166666666,11.629108472635794,646.6116145833333,686.0146354166667,,,,,,,,,,,,,,,,,,,,,,,,,
internal_percentage,4.0,0.0,bayesian_truncated_dirichlet,20,,,,,,,,,,,0.1799151638813318,0.18,0.02183698109840239,0.1396,0.21659999999999996,,,,,,,,,,,0.9994,1.0,0.001957441939718373,0.9939,1.0,,,,,,,,,,,,,0.8853371809819925,0.888,0.0188274207844591,0.8452999999999999,0.9101,0.5983605384385464,0.5981683379647272,0.0036616045058134586,0.591720458434534,0.6044476536559049,0.12757010166117064,0.12726781013385594,0.003466631301433955,0.12216075416533113,0.13429214490023259,3838.6553999999987,3836.204,74.90236561256191,3694.6194,3966.4593999999997,,,,,
internal_percentage,4.0,0.05,bayesian_truncated_dirichlet,20,,,,,,,,,,,0.17313012048192772,0.1723453815261044,0.023619540718639028,0.131444578313253,0.20843855421686747,,,,,,,,,,,0.9992000000000001,1.0,0.001641565363336248,0.996,1.0,,,,,,,,,,,,,0.8494714859437751,0.856,0.024974176719521037,0.803012048192771,0.8858787148594377,0.5951749491892444,0.594785451950387,0.0036276458227617187,0.589821848703936,0.6028082463987848,0.13101851342264567,0.13113864917018936,0.002838946782159017,0.12617025658943012,0.135296529761793,3779.1050000000005,3787.25,73.06822872818037,3675.8547,3890.102,,,,,
internal_percentage,4.0,0.1,bayesian_truncated_dirichlet,20,,,,,,,,,,,0.17008378028242005,0.1643293172690763,0.025794237344945407,0.13042168674698795,0.21469678714859436,,,,,,,,,,,0.9982,1.0,0.0024192212753172,0.9939,1.0,,,,,,,,,,,,,0.8174574685840135,0.812,0.0273734071706872,0.7750516129032258,0.8575301204819277,0.5899421045536737,0.5906472038524311,0.004737107660364836,0.5812938876179072,0.5972848186366766,0.13302769536757034,0.13286876912130063,0.0038644320411436207,0.12681465019443539,0.14006988240592105,3678.619,3677.798,95.95034199769003,3505.6241,3837.124,,,,,
internal_percentage,4.0,0.2,bayesian_truncated_dirichlet,20,,,,,,,,,,,0.16147347081941454,0.16,0.02530765900469864,0.12996144578313254,0.21134538152610438,,,,,,,,,,,0.9969999999999999,0.996,0.003402785236893606,0.9899,1.0,,,,,,,,,,,,,0.7562719284084228,0.7615100401606425,0.024390495342949584,0.716981124497992,0.7875955823293173,0.584140266363795,0.5849373472411751,0.003971633608110508,0.5771367872507199,0.5907395067230395,0.1366574277706474,0.135080165801998,0.004175906407950083,0.1323771456720915,0.14598457988715022,3531.599799999999,3530.906,74.20139862463931,3403.9986000000004,3644.821,,,,,
internal_percentage,5.0,0.0,bayesian_truncated_dirichlet,20,,,,,,,,,,,0.08104497991967873,0.074,0.01810871584776721,0.0601144578313253,0.1122,,,,,,,,,,,0.9994,1.0,0.001465390194130094,0.996,1.0,,,,,,,,,,,,,0.8505076305220884,0.852,0.01942341498861823,0.8173642570281124,0.8825,0.528933696468919,0.5298386962113382,0.0035656352143290377,0.5221161634658307,0.5334377432667045,0.11035354018728094,0.11005434729766739,0.0026770379412988173,0.10576021611347403,0.11558753654792495,3525.5424,3538.1440000000002,71.66918683007506,3355.8494,3620.7938,,,,,
internal_percentage,5.0,0.05,bayesian_truncated_dirichlet,20,,,,,,,,,,,0.07006991838321026,0.07,0.021968391888641213,0.031701612903225804,0.10819999999999999,,,,,,,,,,,0.9987999999999999,1.0,0.00228496228230992,0.9939,1.0,,,,,,,,,,,,,0.813571563674051,0.8132530120481928,0.026364165958031895,0.776,0.8581,0.5260190693871332,0.5263470126038989,0.0031207689566767976,0.5203918621525895,0.5311648249937663,0.11147202807441478,0.11095565184213063,0.002469054339782784,0.10773647403595228,0.11603142709408609,3477.617800000001,3487.362,90.20802688966384,3314.6013,3623.8141,,,,,
internal_percentage,5.0,0.1,bayesian_truncated_dirichlet,20,,,,,,,,,,,0.07197289804378806,0.07013654618473895,0.017402388592628295,0.054009638554216866,0.11325301204819271,,,,,,,,,,,0.9975999999999999,0.998,0.002722228189514884,0.992,1.0,,,,,,,,,,,,,0.7913110053115688,0.7875903614457831,0.028668395930316913,0.7446497991967872,0.8381,0.5238602309417297,0.5241230388702963,0.0033293295287315757,0.5180389943270239,0.5296665064267705,0.1126271961725444,0.11249815267051111,0.0027194889676460552,0.10813712283101791,0.11745451693645918,3398.7064000000005,3388.582,63.994151593308665,3282.2128,3495.8197,,,,,
internal_percentage,5.0,0.2,bayesian_truncated_dirichlet,20,,,,,,,,,,,0.06743034181915071,0.06813654618473897,0.01589937276159888,0.039851340847260004,0.09676326272833267,,,,,,,,,,,0.9965999999999999,0.996,0.0035003759196616854,0.9899,1.0,,,,,,,,,,,,,0.7363246301649068,0.7369354838709677,0.03171504640116786,0.6698493975903614,0.7871152626701137,0.5194780410105394,0.5201856668960887,0.003570765721312348,0.5127601323857479,0.5249540914093103,0.11506986296435844,0.11525677590849412,0.0026405531534831692,0.11091636447552593,0.11966158588010606,3264.7281999999996,3264.3680000000004,91.62782231086571,3107.4881,3441.7134,,,,,
internal_percentage,6.0,0.0,bayesian_truncated_dirichlet,20,,,,,,,,,,,0.03022088353413655,0.028,0.012140045695104237,0.013925301204819277,0.054099999999999995,,,,,,,,,,,0.9991999999999999,1.0,0.0016415653633362482,0.996,1.0,,,,,,,,,,,,,0.8282626506024098,0.824,0.033568467786641916,0.7829192771084338,0.8966,0.46931501701774864,0.4696829922064668,0.002329644885019888,0.465630953000241,0.472579870985819,0.09560526967982144,0.09574534603378629,0.002493897642593668,0.09037867055629671,0.09881675035096985,3310.632,3286.908,59.552931085229574,3245.4522,3439.8033,,,,,
internal_percentage,6.0,0.05,bayesian_truncated_dirichlet,20,,,,,,,,,,,0.0296136546184739,0.02604819277108434,0.012867002240593346,0.013900000000000001,0.05639999999999998,,,,,,,,,,,0.9994,1.0,0.0014653901941300942,0.996,1.0,,,,,,,,,,,,,0.7990963855421688,0.796,0.03035177163331931,0.752,0.8396947791164658,0.46783550055404816,0.4681618686731367,0.002255186410414815,0.4630360827744716,0.47097709292529183,0.09628595466217123,0.09616433400097679,0.0020705634255328014,0.09300291079891504,0.10003388099082441,3248.4026,3254.348,55.087618282533406,3148.7814,3330.8313,,,,,
internal_percentage,6.0,0.1,bayesian_truncated_dirichlet,20,,,,,,,,,,,0.031441838321026046,0.030056224899598395,0.011382228731101979,0.02,0.05820682730923694,,,,,,,,,,,0.999,1.0,0.0022004784168807258,0.9939,1.0,,,,,,,,,,,,,0.7605642505505894,0.762,0.030441556162609913,0.7051,0.8097337349397591,0.4660517620176968,0.4655487160281392,0.003509168172405959,0.4595601485520733,0.47180284980937964,0.09720288928929474,0.09712053477343771,0.0024038669595514476,0.09408663861329895,0.10145856259009839,3199.9408,3192.318,67.74481686104737,3099.543,3341.9652,,,,,
internal_percentage,6.0,0.2,bayesian_truncated_dirichlet,20,,,,,,,,,,,0.026463635657951116,0.024048192771084338,0.011709454346658894,0.01202289156626506,0.054583935742971865,,,,,,,,,,,0.9974000000000001,1.0,0.0035003759196616854,0.9899,1.0,,,,,,,,,,,,,0.7014151185648955,0.7008032128514057,0.02956156178300651,0.6537000000000001,0.762026907630522,0.46198340568633256,0.4613592286155729,0.0035668768317529656,0.45728413410755175,0.46969950712109043,0.09894576261831237,0.0990783199260412,0.0014208273599145037,0.09651929690318463,0.10155114537124015,3057.1565999999993,3026.138,86.13130056422123,2969.7862999999998,3256.6559,,,,,
external_ordinal,,,bayesian_uniform_rank_posterior,20,,,,,,,,,,,0.14763888888888885,0.14444444444444443,0.013406081994301936,0.1232638888888889,0.1695833333333333,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,,,,,,6.0,3.0,,,,,,0.9691666666666666,0.9666666666666667,0.01118033988749893,0.95,0.9833333333333333,0.9214816550925928,0.9212112268518519,0.003768980361984703,0.915490625,0.9286065972222222,0.2758810021275986,0.2761843477606757,0.0016384758388798242,0.27247280828372117,0.27844205874006345,,,,,,145.60597222222225,145.8,1.8861685508741488,142.61479166666666,148.67590277777776
external_ordinal,,,bayesian_uniform_rank_posterior,20,,,,,,,,,,,0.06402777777777777,0.06666666666666667,0.012760444638351007,0.041666666666666664,0.08333333333333333,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,,,,,,7.0,3.0,,,,,,0.9970833333333333,1.0,0.00489285790510333,0.9872916666666667,1.0,0.926452199074074,0.9264824735449735,0.0024327387302443626,0.9228467757936508,0.9309684937169311,0.2672847160066346,0.2675940255605005,0.0017277546946618113,0.2646788297032185,0.26994974167798014,,,,,,889.2158333333333,891.2361111111111,15.75041644457022,855.8770833333333,911.4070833333333
external_ordinal,,,bayesian_uniform_rank_posterior,20,,,,,,,,,,,0.16468750000000001,0.16666666666666669,0.014121363968173801,0.13817708333333334,0.18562499999999998,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,,,,,,7.0,4.0,,,,,,0.9279166666666667,0.9291666666666667,0.019548073894439216,0.8872916666666667,0.95875,0.9249032614087301,0.9248297371031746,0.0022538751638271066,0.9214297061011905,0.9292311569940476,0.2749765682078792,0.27483220747935455,0.0015080742954388584,0.27229461127892884,0.27748749006934614,,,,,,672.3436458333333,673.8979166666666,11.629108472635794,646.6116145833333,686.0146354166667
