synthesizer,seed,n_active,outcome_noise_probability,configuration,coverage,width,feasible,n_candidates,n_rounds,false_certainty,mean_compatible_states,full_coverage,full_width,coverage_change,width_change,coverage_improved,coverage_worsened
external_ordinal,20270716,,,external_without_disclosure,1.0,0.963478835978836,1.0,7.0,3.0,0.0,891.5333333333333,1.0,0.8641732804232805,0.0,0.09930555555555554,False,False
external_ordinal,20271716,,,external_without_disclosure,1.0,0.9594841269841269,1.0,7.0,3.0,0.0,890.938888888889,1.0,0.8601058201058202,0.0,0.09937830687830673,False,False
external_ordinal,20272716,,,external_without_disclosure,1.0,0.961818783068783,1.0,7.0,3.0,0.0,876.3305555555556,1.0,0.861633597883598,0.0,0.10018518518518504,False,False
external_ordinal,20273716,,,external_without_disclosure,1.0,0.959510582010582,1.0,7.0,3.0,0.0,890.3333333333334,1.0,0.8590079365079365,0.0,0.10050264550264554,False,False
external_ordinal,20274716,,,external_without_disclosure,1.0,0.9625859788359789,1.0,7.0,3.0,0.0,902.9722222222223,1.0,0.8659259259259259,0.0,0.09666005291005297,False,False
external_ordinal,20275716,,,external_without_disclosure,1.0,0.9610449735449735,1.0,7.0,3.0,0.0,857.175,1.0,0.863095238095238,0.0,0.09794973544973551,False,False
external_ordinal,20276716,,,external_without_disclosure,1.0,0.9602248677248677,1.0,7.0,3.0,0.0,892.1666666666666,1.0,0.8597156084656085,0.0,0.10050925925925924,False,False
external_ordinal,20277716,,,external_without_disclosure,1.0,0.9642791005291005,1.0,7.0,3.0,0.0,900.7777777777777,1.0,0.8700066137566137,0.0,0.09427248677248679,False,False
external_ordinal,20278716,,,external_without_disclosure,1.0,0.9664153439153439,1.0,7.0,3.0,0.0,886.561111111111,1.0,0.8668650793650793,0.0,0.09955026455026461,False,False
external_ordinal,20279716,,,external_without_disclosure,1.0,0.9634325396825396,1.0,7.0,3.0,0.0,902.6638888888889,1.0,0.8664087301587301,0.0,0.09702380952380951,False,False
external_ordinal,20260716,,,external_without_disclosure,1.0,0.9604613095238095,1.0,7.0,4.0,0.0,670.10625,1.0,0.8352132936507937,0.0,0.12524801587301582,False,False
external_ordinal,20261716,,,external_without_disclosure,1.0,0.960406746031746,1.0,7.0,4.0,0.0,685.9041666666667,1.0,0.8317708333333333,0.0,0.12863591269841268,False,False
external_ordinal,20262716,,,external_without_disclosure,1.0,0.9600000000000001,1.0,7.0,4.0,0.0,677.55,1.0,0.8321825396825397,0.0,0.12781746031746033,False,False
external_ordinal,20263716,,,external_without_disclosure,1.0,0.9575099206349207,1.0,7.0,4.0,0.0,660.1125,1.0,0.8306051587301587,0.0,0.12690476190476196,False,False
external_ordinal,20264716,,,external_without_disclosure,1.0,0.9604811507936508,1.0,7.0,4.0,0.0,672.66875,1.0,0.833561507936508,0.0,0.12691964285714286,False,False
external_ordinal,20265716,,,external_without_disclosure,1.0,0.9641815476190476,1.0,7.0,4.0,0.0,674.0979166666667,1.0,0.8372222222222222,0.0,0.12695932539682542,False,False
external_ordinal,20266716,,,external_without_disclosure,1.0,0.9547569444444444,1.0,7.0,4.0,0.0,673.7375,1.0,0.8271329365079365,0.0,0.12762400793650786,False,False
external_ordinal,20267716,,,external_without_disclosure,1.0,0.9609275793650794,1.0,7.0,4.0,0.0,670.0125,1.0,0.8342212301587302,0.0,0.12670634920634927,False,False
external_ordinal,20268716,,,external_without_disclosure,1.0,0.9592212301587302,1.0,7.0,4.0,0.0,650.5458333333333,1.0,0.8310565476190476,0.0,0.1281646825396826,False,False
external_ordinal,20269716,,,external_without_disclosure,1.0,0.9572271825396825,1.0,7.0,4.0,0.0,671.2375,1.0,0.8270287698412698,0.0,0.1301984126984127,False,False
external_ordinal,20270716,,,external_without_disclosure,1.0,0.9592509920634921,1.0,7.0,4.0,0.0,660.2,1.0,0.8338789682539682,0.0,0.12537202380952384,False,False
external_ordinal,20271716,,,external_without_disclosure,1.0,0.9591170634920635,1.0,7.0,4.0,0.0,666.6020833333333,1.0,0.8302132936507937,0.0,0.12890376984126983,False,False
external_ordinal,20272716,,,external_without_disclosure,1.0,0.9581200396825397,1.0,7.0,4.0,0.0,681.7125,1.0,0.8314136904761905,0.0,0.12670634920634916,False,False
external_ordinal,20273716,,,external_without_disclosure,1.0,0.9554662698412698,1.0,7.0,4.0,0.0,686.1145833333334,1.0,0.8288789682539683,0.0,0.12658730158730147,False,False
external_ordinal,20274716,,,external_without_disclosure,1.0,0.9592857142857143,1.0,7.0,4.0,0.0,674.0583333333333,1.0,0.833407738095238,0.0,0.12587797619047625,False,False
external_ordinal,20275716,,,external_without_disclosure,1.0,0.958953373015873,1.0,7.0,4.0,0.0,643.0520833333334,1.0,0.830500992063492,0.0,0.12845238095238098,False,False
external_ordinal,20276716,,,external_without_disclosure,1.0,0.9638789682539682,1.0,7.0,4.0,0.0,681.1729166666667,1.0,0.8373908730158731,0.0,0.12648809523809512,False,False
external_ordinal,20277716,,,external_without_disclosure,1.0,0.9580208333333334,1.0,7.0,4.0,0.0,681.98125,1.0,0.8303571428571428,0.0,0.12766369047619064,False,False
external_ordinal,20278716,,,external_without_disclosure,1.0,0.9586507936507936,1.0,7.0,4.0,0.0,682.7958333333333,1.0,0.8301785714285715,0.0,0.1284722222222221,False,False
external_ordinal,20279716,,,external_without_disclosure,1.0,0.956374007936508,1.0,7.0,4.0,0.0,683.2104166666667,1.0,0.8288244047619048,0.0,0.12754960317460318,False,False
external_ordinal,20260716,,,external_without_elimination,1.0,0.888888888888889,1.0,6.0,3.0,0.0,144.0,1.0,0.7861111111111111,0.0,0.10277777777777786,False,False
external_ordinal,20261716,,,external_without_elimination,1.0,0.888888888888889,1.0,6.0,3.0,0.0,144.0,1.0,0.7920833333333334,0.0,0.09680555555555559,False,False
external_ordinal,20262716,,,external_without_elimination,1.0,0.888888888888889,1.0,6.0,3.0,0.0,144.0,1.0,0.7962037037037037,0.0,0.0926851851851852,False,False
external_ordinal,20263716,,,external_without_elimination,1.0,0.888888888888889,1.0,6.0,3.0,0.0,144.0,1.0,0.7913888888888889,0.0,0.09750000000000003,False,False
external_ordinal,20264716,,,external_without_elimination,1.0,0.888888888888889,1.0,6.0,3.0,0.0,144.0,1.0,0.7881944444444444,0.0,0.10069444444444453,False,False
external_ordinal,20265716,,,external_without_elimination,1.0,0.888888888888889,1.0,6.0,3.0,0.0,144.0,1.0,0.7999537037037037,0.0,0.08893518518518528,False,False
external_ordinal,20266716,,,external_without_elimination,1.0,0.888888888888889,1.0,6.0,3.0,0.0,144.0,1.0,0.7976851851851853,0.0,0.09120370370370368,False,False
external_ordinal,20267716,,,external_without_elimination,1.0,0.888888888888889,1.0,6.0,3.0,0.0,144.0,1.0,0.7879166666666666,0.0,0.10097222222222235,False,False
external_ordinal,20268716,,,external_without_elimination,1.0,0.888888888888889,1.0,6.0,3.0,0.0,144.0,1.0,0.7931018518518518,0.0,0.09578703703703717,False,False
external_ordinal,20269716,,,external_without_elimination,1.0,0.888888888888889,1.0,6.0,3.0,0.0,144.0,1.0,0.7969444444444445,0.0,0.0919444444444445,False,False
external_ordinal,20270716,,,external_without_elimination,1.0,0.888888888888889,1.0,6.0,3.0,0.0,144.0,1.0,0.7942592592592593,0.0,0.09462962962962962,False,False
external_ordinal,20271716,,,external_without_elimination,1.0,0.888888888888889,1.0,6.0,3.0,0.0,144.0,1.0,0.7903240740740741,0.0,0.09856481481481483,False,False
external_ordinal,20272716,,,external_without_elimination,1.0,0.888888888888889,1.0,6.0,3.0,0.0,144.0,1.0,0.8026388888888889,0.0,0.08625000000000005,False,False
external_ordinal,20273716,,,external_without_elimination,1.0,0.888888888888889,1.0,6.0,3.0,0.0,144.0,1.0,0.7941666666666667,0.0,0.09472222222222226,False,False
external_ordinal,20274716,,,external_without_elimination,1.0,0.888888888888889,1.0,6.0,3.0,0.0,144.0,1.0,0.7928240740740741,0.0,0.09606481481481488,False,False
external_ordinal,20275716,,,external_without_elimination,1.0,0.888888888888889,1.0,6.0,3.0,0.0,144.0,1.0,0.7950925925925926,0.0,0.09379629629629638,False,False
external_ordinal,20276716,,,external_without_elimination,1.0,0.888888888888889,1.0,6.0,3.0,0.0,144.0,1.0,0.7943055555555555,0.0,0.09458333333333346,False,False
external_ordinal,20277716,,,external_without_elimination,1.0,0.888888888888889,1.0,6.0,3.0,0.0,144.0,1.0,0.7969907407407407,0.0,0.09189814814814823,False,False
external_ordinal,20278716,,,external_without_elimination,1.0,0.888888888888889,1.0,6.0,3.0,0.0,144.0,1.0,0.7825462962962962,0.0,0.10634259259259271,False,False
external_ordinal,20279716,,,external_without_elimination,1.0,0.888888888888889,1.0,6.0,3.0,0.0,144.0,1.0,0.7866203703703704,0.0,0.10226851851851859,False,False
external_ordinal,20260716,,,external_without_elimination,1.0,0.9285714285714284,1.0,7.0,3.0,0.0,980.0,1.0,0.8677645502645502,0.0,0.06080687830687814,False,False
external_ordinal,20261716,,,external_without_elimination,1.0,0.9285714285714284,1.0,7.0,3.0,0.0,980.0,1.0,0.8663955026455027,0.0,0.06217592592592569,False,False
