synthesizer,seed,n_active,outcome_noise_probability,configuration,coverage,width,feasible,n_candidates,n_rounds,false_certainty,mean_compatible_states
internal_percentage,20262716,6.0,0.1,internal_full_rule,0.976,0.8574436619402622,1.0,,,,
internal_percentage,20262716,6.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20262716,6.0,0.2,internal_full_rule,0.896,0.8498615857119831,1.0,,,,
internal_percentage,20262716,6.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20263716,4.0,0.0,internal_full_rule,1.0,0.8257543241192237,1.0,,,,
internal_percentage,20263716,4.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20263716,4.0,0.05,internal_full_rule,0.984,0.8257244683307191,1.0,,,,
internal_percentage,20263716,4.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20263716,4.0,0.1,internal_full_rule,0.952,0.8093783588701662,1.0,,,,
internal_percentage,20263716,4.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20263716,4.0,0.2,internal_full_rule,0.892,0.8040347763732384,1.0,,,,
internal_percentage,20263716,4.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20263716,5.0,0.0,internal_full_rule,1.0,0.8458109507514937,1.0,,,,
internal_percentage,20263716,5.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20263716,5.0,0.05,internal_full_rule,0.98,0.8426302881761785,1.0,,,,
internal_percentage,20263716,5.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20263716,5.0,0.1,internal_full_rule,0.968,0.8390143961919927,1.0,,,,
internal_percentage,20263716,5.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20263716,5.0,0.2,internal_full_rule,0.924,0.8406407155965775,1.0,,,,
internal_percentage,20263716,5.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20263716,6.0,0.0,internal_full_rule,1.0,0.8632521136326442,1.0,,,,
internal_percentage,20263716,6.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20263716,6.0,0.05,internal_full_rule,0.976,0.8627537966760246,1.0,,,,
internal_percentage,20263716,6.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20263716,6.0,0.1,internal_full_rule,0.964,0.8615954241387973,1.0,,,,
internal_percentage,20263716,6.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20263716,6.0,0.2,internal_full_rule,0.904,0.8584288100026434,1.0,,,,
internal_percentage,20263716,6.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20264716,4.0,0.0,internal_full_rule,1.0,0.8265054064208833,1.0,,,,
internal_percentage,20264716,4.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20264716,4.0,0.05,internal_full_rule,0.972,0.8197204823401599,1.0,,,,
internal_percentage,20264716,4.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20264716,4.0,0.1,internal_full_rule,0.936,0.8155816656938853,1.0,,,,
