synthesizer,n_active,outcome_noise_probability,configuration,seed_count,coverage_change_mean,coverage_change_median,coverage_change_std,coverage_change_q025,coverage_change_q975,width_change_mean,width_change_median,width_change_std,width_change_q025,width_change_q975,paired_cells,coverage_improved_count,coverage_worsened_count,coverage_improved_proportion,coverage_worsened_proportion,n_candidates,n_rounds
internal_percentage,4.0,0.0,internal_without_elimination,20,0.0,0.0,0.0,0.0,0.0,0.17522338205682297,0.17487893318960784,0.0036591757621434857,0.16851646928275318,0.1821734649966883,20,0,0,0.0,0.0,,
internal_percentage,4.0,0.05,internal_without_elimination,20,0.02140000000000002,0.020000000000000018,0.010565086494278177,0.008000000000000007,0.04610000000000004,0.17922386872960255,0.17854011459955166,0.003457749385949395,0.17317136494562144,0.18462667474895603,20,20,0,1.0,0.0,,
internal_percentage,4.0,0.1,internal_without_elimination,20,0.04560000000000003,0.04600000000000004,0.012675712374873692,0.02360000000000002,0.06819999999999994,0.18539490927148433,0.18470062043643515,0.004857194017663744,0.17642367263538028,0.1939725517275962,20,20,0,1.0,0.0,,
internal_percentage,4.0,0.2,internal_without_elimination,20,0.0928,0.09399999999999997,0.015223250915000156,0.06589999999999994,0.11199999999999999,0.19385859003216513,0.19224916115463225,0.005379640726851457,0.18760087467566108,0.20431312738804597,20,20,0,1.0,0.0,,
internal_percentage,5.0,0.0,internal_without_elimination,20,0.0,0.0,0.0,0.0,0.0,0.15365350016248064,0.15316399901082817,0.003074891415578462,0.14956914560247936,0.15935296921592018,20,0,0,0.0,0.0,,
internal_percentage,5.0,0.05,internal_without_elimination,20,0.02080000000000002,0.020000000000000018,0.0063045514052193045,0.01200000000000001,0.03430000000000001,0.1568016189922585,0.15729506348131883,0.0032673176956786714,0.15049864604321037,0.16188145381143057,20,20,0,1.0,0.0,,
internal_percentage,5.0,0.1,internal_without_elimination,20,0.04080000000000004,0.04200000000000004,0.010748806543298812,0.02400000000000002,0.05810000000000005,0.16085231192086344,0.16091076481978844,0.002856319133887979,0.1563386066823701,0.16620108529906066,20,20,0,1.0,0.0,,
internal_percentage,5.0,0.2,internal_without_elimination,20,0.083,0.08799999999999997,0.016764624409122523,0.05580000000000005,0.10629999999999996,0.16700262822187653,0.16804539432740734,0.0044957420909046125,0.15821918229912751,0.17364262257049934,20,20,0,1.0,0.0,,
internal_percentage,6.0,0.0,internal_without_elimination,20,0.0,0.0,0.0,0.0,0.0,0.13589345192794047,0.13588138413171497,0.0023079653511837318,0.13246333988415035,0.13990449923465847,20,0,0,0.0,0.0,,
internal_percentage,6.0,0.05,internal_without_elimination,20,0.02400000000000002,0.02400000000000002,0.007786628214276608,0.01200000000000001,0.03600000000000003,0.13836990852600645,0.13796247026559266,0.0025724059852335955,0.13386674781783972,0.14237948607545936,20,20,0,1.0,0.0,,
internal_percentage,6.0,0.1,internal_without_elimination,20,0.04060000000000004,0.038000000000000034,0.011032964959133782,0.025900000000000024,0.05810000000000005,0.14029225403390305,0.13987814185928815,0.002950813366688029,0.13570311983601224,0.1453335921788069,20,20,0,1.0,0.0,,
internal_percentage,6.0,0.2,internal_without_elimination,20,0.08359999999999998,0.08399999999999996,0.015294994021092743,0.04800000000000004,0.10609999999999997,0.1463857125975933,0.1459932188842578,0.003894984316680701,0.13858663211161407,0.15241699540281062,20,20,0,1.0,0.0,,
external_ordinal,,,external_without_disclosure,20,0.0,0.0,0.0,0.0,0.0,0.1612662037037037,0.16118055555555555,0.0028705776743979897,0.15705208333333326,0.16590625000000006,20,0,0,0.0,0.0,6.0,3.0
external_ordinal,,,external_without_elimination,20,0.0,0.0,0.0,0.0,0.0,0.09592129629629637,0.09525462962962972,0.004978790025611154,0.08752546296296304,0.10464930555555566,20,0,0,0.0,0.0,6.0,3.0
external_ordinal,,,external_without_save,20,-0.7825,-0.7875,0.04728753653037036,-0.8504166666666667,-0.6991666666666667,-0.05566782407407407,-0.054814814814814816,0.003375799545043574,-0.06291377314814817,-0.051379629629629615,20,0,20,0.0,1.0,6.0,3.0
external_ordinal,,,external_without_tie_handling,20,-0.04416666666666667,-0.03749999999999998,0.027319316046339193,-0.10041666666666664,-0.008333333333333304,0.003856481481481483,0.0035879629629629317,0.002804366332274315,-0.0008425925925925587,0.008183449074074062,20,0,20,0.0,1.0,6.0,3.0
external_ordinal,,,external_without_disclosure,20,0.0,0.0,0.0,0.0,0.0,0.0987354497354497,0.09930224867724868,0.0020677491271681547,0.09477199074074075,0.10142774470899461,20,0,0,0.0,0.0,7.0,3.0
external_ordinal,,,external_without_elimination,20,0.0,0.0,0.0,0.0,0.0,0.06540145502645485,0.06496693121693098,0.003981428342096165,0.05962979497354483,0.07216600529100504,20,0,0,0.0,0.0,7.0,3.0
external_ordinal,,,external_without_save,20,-0.7849999999999999,-0.7833333333333333,0.03479261869692296,-0.8416666666666667,-0.7289583333333334,-0.04066534391534389,-0.040370370370370334,0.0036985920127228632,-0.04661574074074071,-0.03460590277777762,20,0,20,0.0,1.0,7.0,3.0
