synthesizer,seed,n_active,outcome_noise_probability,method,coverage,width,n_candidates,n_rounds
internal_percentage,20262716,5.0,0.05,rule_aware_partial_identification,0.976,0.8461374942530375,,
internal_percentage,20262716,5.0,0.1,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20262716,5.0,0.1,rule_aware_partial_identification,0.952,0.8368145004216596,,
internal_percentage,20262716,5.0,0.2,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20262716,5.0,0.2,rule_aware_partial_identification,0.9,0.8324891762986881,,
internal_percentage,20262716,6.0,0.0,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20262716,6.0,0.0,rule_aware_partial_identification,1.0,0.8678630711611672,,
internal_percentage,20262716,6.0,0.05,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20262716,6.0,0.05,rule_aware_partial_identification,0.972,0.862017331337525,,
internal_percentage,20262716,6.0,0.1,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20262716,6.0,0.1,rule_aware_partial_identification,0.976,0.8574436619402622,,
internal_percentage,20262716,6.0,0.2,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20262716,6.0,0.2,rule_aware_partial_identification,0.896,0.8498615857119831,,
external_ordinal,20262716,,,rule_agnostic_ordinal,1.0,1.0,6.0,3.0
external_ordinal,20262716,,,rule_aware_discretion,1.0,0.957962962962963,6.0,3.0
external_ordinal,20262716,,,rule_agnostic_ordinal,1.0,1.0,7.0,3.0
external_ordinal,20262716,,,rule_aware_discretion,1.0,0.9583531746031746,7.0,3.0
external_ordinal,20262716,,,rule_agnostic_ordinal,1.0,1.0,7.0,4.0
external_ordinal,20262716,,,rule_aware_discretion,1.0,0.9600000000000001,7.0,4.0
internal_percentage,20263716,4.0,0.0,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20263716,4.0,0.0,rule_aware_partial_identification,1.0,0.8257543241192237,,
internal_percentage,20263716,4.0,0.05,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20263716,4.0,0.05,rule_aware_partial_identification,0.984,0.8257244683307191,,
internal_percentage,20263716,4.0,0.1,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20263716,4.0,0.1,rule_aware_partial_identification,0.952,0.8093783588701662,,
internal_percentage,20263716,4.0,0.2,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20263716,4.0,0.2,rule_aware_partial_identification,0.892,0.8040347763732384,,
internal_percentage,20263716,5.0,0.0,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20263716,5.0,0.0,rule_aware_partial_identification,1.0,0.8458109507514937,,
internal_percentage,20263716,5.0,0.05,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20263716,5.0,0.05,rule_aware_partial_identification,0.98,0.8426302881761785,,
internal_percentage,20263716,5.0,0.1,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20263716,5.0,0.1,rule_aware_partial_identification,0.968,0.8390143961919927,,
internal_percentage,20263716,5.0,0.2,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20263716,5.0,0.2,rule_aware_partial_identification,0.924,0.8406407155965775,,
internal_percentage,20263716,6.0,0.0,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20263716,6.0,0.0,rule_aware_partial_identification,1.0,0.8632521136326442,,
internal_percentage,20263716,6.0,0.05,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20263716,6.0,0.05,rule_aware_partial_identification,0.976,0.8627537966760246,,
internal_percentage,20263716,6.0,0.1,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20263716,6.0,0.1,rule_aware_partial_identification,0.964,0.8615954241387973,,
