synthesizer,n_candidates,n_rounds,method,n_seeds,replications_per_seed,total_replications,coverage_rate_mean,coverage_rate_median,coverage_rate_std,coverage_rate_q025,coverage_rate_q975,average_feasible_set_width_mean,average_feasible_set_width_median,average_feasible_set_width_std,average_feasible_set_width_q025,average_feasible_set_width_q975,false_certainty_rate_mean,false_certainty_rate_median,false_certainty_rate_std,false_certainty_rate_q025,false_certainty_rate_q975,rule_robustness_index_mean,rule_robustness_index_median,rule_robustness_index_std,rule_robustness_index_q025,rule_robustness_index_q975,disclosure_uncertainty_reduction_mean,disclosure_uncertainty_reduction_median,disclosure_uncertainty_reduction_std,disclosure_uncertainty_reduction_q025,disclosure_uncertainty_reduction_q975,recommendation_stability_mean,recommendation_stability_median,recommendation_stability_std,recommendation_stability_q025,recommendation_stability_q975
external_ordinal,6,3,direct_rule_misspecification,20,120,2400,0.2175,0.2125,0.0472875365303704,0.149583333333333,0.300833333333333,0.905997685185185,0.906689814814815,0.00562794927455508,0.89437037037037,0.916083333333333,0.7825,0.7875,0.0472875365303703,0.699166666666667,0.850416666666667,0.206041666666667,0.214583333333333,0.0453064815018985,0.12875,0.268072916666667,0.171707175925926,0.171365740740741,0.00292448705390598,0.166511574074074,0.177009837962963,0.993854166666667,0.995833333333333,0.00396870755030941,0.9875,0.999010416666667
external_ordinal,6,3,rule_agnostic_ordinal,20,120,2400,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0.111111111111111,0.111111111111111,2.84766197312978e-17,0.111111111111111,0.111111111111111,1,1,0,1,1
external_ordinal,6,3,rule_aware_discretion,20,120,2400,1,1,0,1,1,0.954233796296296,0.954027777777778,0.00356623775428563,0.949090277777778,0.960869212962963,0,0,0,0,0,0.963854166666667,0.965625,0.0152835498798487,0.937291666666667,0.983333333333333,0.161266203703704,0.161180555555556,0.00287057767439797,0.157052083333333,0.16590625,0.9990625,1,0.00126001108089437,0.996822916666667,1
external_ordinal,7,3,direct_rule_misspecification,20,120,2400,0.215,0.216666666666667,0.034792618696923,0.158333333333333,0.271041666666667,0.927984126984127,0.927741402116402,0.00436873681191187,0.920603174603175,0.936458498677249,0.785,0.783333333333333,0.034792618696923,0.728958333333333,0.841666666666667,0.200729166666667,0.192708333333333,0.0325376173997518,0.146302083333333,0.254166666666667,0.105878472222222,0.106344246031746,0.0029384498844985,0.100688988095238,0.110722883597884,0.9978125,0.997916666666667,0.00265896296783679,0.99265625,1
external_ordinal,7,3,rule_agnostic_ordinal,20,120,2400,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0.0714285714285714,0.0714285714285714,0,0.0714285714285714,0.0714285714285714,1,1,0,1,1
external_ordinal,7,3,rule_aware_discretion,20,120,2400,1,1,0,1,1,0.961905423280423,0.962156084656085,0.00263894332684643,0.957617063492063,0.966665343915344,0,0,0,0,0,0.939895833333333,0.9375,0.0151936061835118,0.91875,0.967083333333333,0.0987354497354498,0.0993022486772487,0.00206774912716817,0.0947719907407408,0.101427744708995,0.9996875,1,0.00101950101026998,0.996822916666667,1
external_ordinal,7,4,direct_rule_misspecification,20,120,2400,0.0433333333333333,0.0416666666666667,0.0165787153051613,0.025,0.079375,0.879142361111111,0.879506448412698,0.00561793054699148,0.87065873015873,0.888037450396825,0.956666666666667,0.958333333333333,0.0165787153051613,0.920625,0.975,0.0380208333333333,0.0364583333333333,0.0152176431490456,0.01546875,0.0684895833333333,0.138919973544974,0.138575562169312,0.0022302050490976,0.134949404761905,0.142092757936508,0.9965625,0.997916666666667,0.0027268262028136,0.990572916666667,1
external_ordinal,7,4,rule_agnostic_ordinal,20,120,2400,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0.0952380952380952,0.0952380952380952,2.84766197312978e-17,0.0952380952380952,0.0952380952380952,1,1,0,1,1
external_ordinal,7,4,rule_aware_discretion,20,120,2400,1,1,0,1,1,0.959114583333333,0.959169146825397,0.00236452092395794,0.955093874007937,0.964037822420635,0,0,0,0,0,0.9315625,0.929166666666667,0.0155061267602604,0.90375,0.956770833333333,0.127362599206349,0.127254464285714,0.0012340571188188,0.125306919642857,0.12958345734127,0.999895833333333,1,0.000465847495312455,0.99890625,1
