synthesizer,n_active,outcome_noise_probability,method,n_seeds,replications_per_seed,total_replications,coverage_rate_mean,coverage_rate_median,coverage_rate_std,coverage_rate_q025,coverage_rate_q975,average_feasible_set_width_mean,average_feasible_set_width_median,average_feasible_set_width_std,average_feasible_set_width_q025,average_feasible_set_width_q975,false_certainty_rate_mean,false_certainty_rate_median,false_certainty_rate_std,false_certainty_rate_q025,false_certainty_rate_q975,baseline_error_mean,baseline_error_median,baseline_error_std,baseline_error_q025,baseline_error_q975,outcome_consistency_rate_mean,outcome_consistency_rate_median,outcome_consistency_rate_std,outcome_consistency_rate_q025,outcome_consistency_rate_q975,feasible_rate_mean,feasible_rate_median,feasible_rate_std,feasible_rate_q025,feasible_rate_q975
internal_percentage,5,0.1,full_disclosure_oracle_synthetic_only,20,250,5000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.897,0.898,0.0207592718663505,0.8638,0.9381,1,1,0,1,1
internal_percentage,5,0.1,naive_point_estimation,20,250,5000,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0.103348803747296,0.103266053407144,0.00218081901329294,0.0996918232597181,0.107132576452149,0.6454,0.656,0.0309913400467734,0.5895,0.6863,1,1,0,1,1
internal_percentage,5,0.1,rule_agnostic_partial_identification,20,250,5000,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,,,,,,1,1,0,1,1,1,1,0,1,1
internal_percentage,5,0.1,rule_aware_partial_identification,20,250,5000,0.9592,0.958,0.0107488065432988,0.9419,0.976,0.839147688079137,0.839089235180212,0.00285631913388798,0.833798914700939,0.84366139331763,0,0,0,0,0,,,,,,1,1,0,1,1,1,1,0,1,1
internal_percentage,5,0.2,full_disclosure_oracle_synthetic_only,20,250,5000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8032,0.806,0.024056074842794,0.7571,0.8442,1,1,0,1,1
internal_percentage,5,0.2,naive_point_estimation,20,250,5000,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0.105443190990938,0.104937869170041,0.00247335274393853,0.101445917855469,0.108850436690676,0.6094,0.616,0.0315033832769551,0.556,0.6661,1,1,0,1,1
internal_percentage,5,0.2,rule_agnostic_partial_identification,20,250,5000,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,,,,,,1,1,0,1,1,1,1,0,1,1
internal_percentage,5,0.2,rule_aware_partial_identification,20,250,5000,0.917,0.912,0.0167646244091225,0.8937,0.9442,0.832997371778123,0.831954605672593,0.00449574209090461,0.826357377429501,0.841780817700872,0,0,0,0,0,,,,,,1,1,0,1,1,1,1,0,1,1
internal_percentage,6,0,full_disclosure_oracle_synthetic_only,20,250,5000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1
internal_percentage,6,0,naive_point_estimation,20,250,5000,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0.0887885568700876,0.0889286072291343,0.00189004979253987,0.0852289934140376,0.0913564815720201,0.6902,0.69,0.0266746479284219,0.6358,0.7284,1,1,0,1,1
internal_percentage,6,0,rule_agnostic_partial_identification,20,250,5000,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,,,,,,1,1,0,1,1,1,1,0,1,1
internal_percentage,6,0,rule_aware_partial_identification,20,250,5000,1,1,0,1,1,0.86410654807206,0.864118615868285,0.00230796535118373,0.860095500765341,0.86753666011585,0,0,0,0,0,,,,,,1,1,0,1,1,1,1,0,1,1
internal_percentage,6,0.05,full_disclosure_oracle_synthetic_only,20,250,5000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9476,0.946,0.0132283586919999,0.9299,0.9701,1,1,0,1,1
internal_percentage,6,0.05,naive_point_estimation,20,250,5000,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0.0887742492831118,0.0883547280116405,0.00205105073734868,0.0861271016352493,0.0930746284091587,0.6698,0.666,0.0332765129752123,0.6173,0.7284,1,1,0,1,1
internal_percentage,6,0.05,rule_agnostic_partial_identification,20,250,5000,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,,,,,,1,1,0,1,1,1,1,0,1,1
internal_percentage,6,0.05,rule_aware_partial_identification,20,250,5000,0.976,0.976,0.00778662821427661,0.964,0.988,0.861630091473994,0.862037529734407,0.0025724059852336,0.857620513924541,0.86613325218216,0,0,0,0,0,,,,,,1,1,0,1,1,1,1,0,1,1
internal_percentage,6,0.1,full_disclosure_oracle_synthetic_only,20,250,5000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8998,0.898,0.0214613483659394,0.8552,0.9261,1,1,0,1,1
internal_percentage,6,0.1,naive_point_estimation,20,250,5000,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0.0885860938958836,0.0883516655815835,0.00134309726521638,0.0867245631962547,0.0911401291670545,0.6468,0.644,0.0286128421664487,0.6059,0.7109,1,1,0,1,1
internal_percentage,6,0.1,rule_agnostic_partial_identification,20,250,5000,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,,,,,,1,1,0,1,1,1,1,0,1,1
internal_percentage,6,0.1,rule_aware_partial_identification,20,250,5000,0.9594,0.962,0.0110329649591338,0.9419,0.9741,0.859707745966097,0.860121858140712,0.00295081336668803,0.854666407821193,0.864296880163988,0,0,0,0,0,,,,,,1,1,0,1,1,1,1,0,1,1
internal_percentage,6,0.2,full_disclosure_oracle_synthetic_only,20,250,5000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7996,0.794,0.0212017874122368,0.7697,0.8383,1,1,0,1,1
internal_percentage,6,0.2,naive_point_estimation,20,250,5000,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0.0896262439765726,0.0898961404837314,0.0016079194585809,0.0864965156412795,0.091848903899864,0.5902,0.584,0.0339529085646576,0.5438,0.6665,1,1,0,1,1
internal_percentage,6,0.2,rule_agnostic_partial_identification,20,250,5000,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,,,,,,1,1,0,1,1,1,1,0,1,1
internal_percentage,6,0.2,rule_aware_partial_identification,20,250,5000,0.9164,0.916,0.0152949940210927,0.8939,0.952,0.853614287402407,0.854006781115742,0.0038949843166807,0.847583004597189,0.861413367888386,0,0,0,0,0,,,,,,1,1,0,1,1,1,1,0,1,1
