condition,paired_replications,paired_seed_cells,joint_coverage_change_mean,joint_coverage_change_mcse,legacy_projection_change_mean,legacy_projection_change_mcse,width_change_mean,width_change_mcse
clean,15000,60,0,0,0,0,0.154923444716,0.000402760044483
positive_noise,45000,180,0.1176,0.00151857057098,0.0502888888889,0.00103022088137,0.16313131137,0.00030153426029
