seed,n_active,outcome_noise_probability,method,n_replications,joint_set_coverage,projection_box_coverage,mean_width
20276716,5,0,rule_agnostic_partial_identification,250,1,1,1
20276716,5,0,rule_aware_partial_identification,250,1,1,0.849070747572
20276716,5,0.05,rule_agnostic_partial_identification,250,1,1,1
20276716,5,0.05,rule_aware_partial_identification,250,0.94,0.976,0.839714832981
20276716,5,0.1,rule_agnostic_partial_identification,250,1,1,1
20276716,5,0.1,rule_aware_partial_identification,250,0.912,0.956,0.842918953427
20276716,5,0.2,rule_agnostic_partial_identification,250,1,1,1
20276716,5,0.2,rule_aware_partial_identification,250,0.824,0.908,0.830174988647
20276716,6,0,rule_agnostic_partial_identification,250,1,1,1
20276716,6,0,rule_aware_partial_identification,250,1,1,0.862678940386
20276716,6,0.05,rule_agnostic_partial_identification,250,1,1,1
20276716,6,0.05,rule_aware_partial_identification,250,0.944,0.964,0.859254134486
20276716,6,0.1,rule_agnostic_partial_identification,250,1,1,1
20276716,6,0.1,rule_aware_partial_identification,250,0.92,0.972,0.865055738265
20276716,6,0.2,rule_agnostic_partial_identification,250,1,1,1
20276716,6,0.2,rule_aware_partial_identification,250,0.828,0.952,0.856064609456
20277716,4,0,rule_agnostic_partial_identification,250,1,1,1
20277716,4,0,rule_aware_partial_identification,250,1,1,0.823727104916
20277716,4,0.05,rule_agnostic_partial_identification,250,1,1,1
20277716,4,0.05,rule_aware_partial_identification,250,0.972,0.984,0.818593781651
20277716,4,0.1,rule_agnostic_partial_identification,250,1,1,1
20277716,4,0.1,rule_aware_partial_identification,250,0.876,0.928,0.804355431139
20277716,4,0.2,rule_agnostic_partial_identification,250,1,1,1
20277716,4,0.2,rule_aware_partial_identification,250,0.808,0.928,0.811477489241
20277716,5,0,rule_agnostic_partial_identification,250,1,1,1
20277716,5,0,rule_aware_partial_identification,250,1,1,0.840189205906
20277716,5,0.05,rule_agnostic_partial_identification,250,1,1,1
20277716,5,0.05,rule_aware_partial_identification,250,0.92,0.96,0.836966536128
20277716,5,0.1,rule_agnostic_partial_identification,250,1,1,1
20277716,5,0.1,rule_aware_partial_identification,250,0.892,0.952,0.838807431095
20277716,5,0.2,rule_agnostic_partial_identification,250,1,1,1
20277716,5,0.2,rule_aware_partial_identification,250,0.804,0.928,0.83322276265
20277716,6,0,rule_agnostic_partial_identification,250,1,1,1
20277716,6,0,rule_aware_partial_identification,250,1,1,0.865278053524
20277716,6,0.05,rule_agnostic_partial_identification,250,1,1,1
20277716,6,0.05,rule_aware_partial_identification,250,0.936,0.984,0.858263991033
20277716,6,0.1,rule_agnostic_partial_identification,250,1,1,1
20277716,6,0.1,rule_aware_partial_identification,250,0.924,0.96,0.86202757631
20277716,6,0.2,rule_agnostic_partial_identification,250,1,1,1
20277716,6,0.2,rule_aware_partial_identification,250,0.792,0.912,0.853942863651
20278716,4,0,rule_agnostic_partial_identification,250,1,1,1
20278716,4,0,rule_aware_partial_identification,250,1,1,0.826744846009
20278716,4,0.05,rule_agnostic_partial_identification,250,1,1,1
20278716,4,0.05,rule_aware_partial_identification,250,0.956,0.972,0.819565751088
20278716,4,0.1,rule_agnostic_partial_identification,250,1,1,1
20278716,4,0.1,rule_aware_partial_identification,250,0.908,0.96,0.815152588834
20278716,4,0.2,rule_agnostic_partial_identification,250,1,1,1
20278716,4,0.2,rule_aware_partial_identification,250,0.812,0.904,0.807663893676
20278716,5,0,rule_agnostic_partial_identification,250,1,1,1
20278716,5,0,rule_aware_partial_identification,250,1,1,0.847926897529
20278716,5,0.05,rule_agnostic_partial_identification,250,1,1,1
20278716,5,0.05,rule_aware_partial_identification,250,0.972,0.984,0.842890210414
20278716,5,0.1,rule_agnostic_partial_identification,250,1,1,1
20278716,5,0.1,rule_aware_partial_identification,250,0.86,0.94,0.832195525437
20278716,5,0.2,rule_agnostic_partial_identification,250,1,1,1
20278716,5,0.2,rule_aware_partial_identification,250,0.796,0.908,0.829879903885
20278716,6,0,rule_agnostic_partial_identification,250,1,1,1
20278716,6,0,rule_aware_partial_identification,250,1,1,0.866928188764
20278716,6,0.05,rule_agnostic_partial_identification,250,1,1,1
20278716,6,0.05,rule_aware_partial_identification,250,0.94,0.968,0.85836628628
20278716,6,0.1,rule_agnostic_partial_identification,250,1,1,1
20278716,6,0.1,rule_aware_partial_identification,250,0.908,0.94,0.860926784449
20278716,6,0.2,rule_agnostic_partial_identification,250,1,1,1
20278716,6,0.2,rule_aware_partial_identification,250,0.784,0.892,0.85033726541
20279716,4,0,rule_agnostic_partial_identification,250,1,1,1
20279716,4,0,rule_aware_partial_identification,250,1,1,0.814817787423
20279716,4,0.05,rule_agnostic_partial_identification,250,1,1,1
20279716,4,0.05,rule_aware_partial_identification,250,0.964,0.988,0.822214619436
20279716,4,0.1,rule_agnostic_partial_identification,250,1,1,1
20279716,4,0.1,rule_aware_partial_identification,250,0.864,0.94,0.807875467209
20279716,4,0.2,rule_agnostic_partial_identification,250,1,1,1
20279716,4,0.2,rule_aware_partial_identification,250,0.784,0.896,0.807837784015
20279716,5,0,rule_agnostic_partial_identification,250,1,1,1
20279716,5,0,rule_aware_partial_identification,250,1,1,0.843159045999
20279716,5,0.05,rule_agnostic_partial_identification,250,1,1,1
20279716,5,0.05,rule_aware_partial_identification,250,0.948,0.976,0.842225221581
20279716,5,0.1,rule_agnostic_partial_identification,250,1,1,1
20279716,5,0.1,rule_aware_partial_identification,250,0.9,0.96,0.838204684956
20279716,5,0.2,rule_agnostic_partial_identification,250,1,1,1
20279716,5,0.2,rule_aware_partial_identification,250,0.808,0.912,0.830555827636
20279716,6,0,rule_agnostic_partial_identification,250,1,1,1
20279716,6,0,rule_aware_partial_identification,250,1,1,0.864792677963
20279716,6,0.05,rule_agnostic_partial_identification,250,1,1,1
20279716,6,0.05,rule_aware_partial_identification,250,0.948,0.972,0.8617255371
20279716,6,0.1,rule_agnostic_partial_identification,250,1,1,1
20279716,6,0.1,rule_aware_partial_identification,250,0.892,0.972,0.863458142263
20279716,6,0.2,rule_agnostic_partial_identification,250,1,1,1
20279716,6,0.2,rule_aware_partial_identification,250,0.776,0.916,0.851006061886
