seed,n_active,outcome_noise_probability,method,n_replications,joint_set_coverage,projection_box_coverage,mean_width
20263716,6,0.05,rule_aware_partial_identification,250,0.956,0.976,0.862753796676
20263716,6,0.1,rule_agnostic_partial_identification,250,1,1,1
20263716,6,0.1,rule_aware_partial_identification,250,0.888,0.964,0.861595424139
20263716,6,0.2,rule_agnostic_partial_identification,250,1,1,1
20263716,6,0.2,rule_aware_partial_identification,250,0.78,0.904,0.858428810003
20264716,4,0,rule_agnostic_partial_identification,250,1,1,1
20264716,4,0,rule_aware_partial_identification,250,1,1,0.826505406421
20264716,4,0.05,rule_agnostic_partial_identification,250,1,1,1
20264716,4,0.05,rule_aware_partial_identification,250,0.944,0.972,0.81972048234
20264716,4,0.1,rule_agnostic_partial_identification,250,1,1,1
20264716,4,0.1,rule_aware_partial_identification,250,0.892,0.936,0.815581665694
20264716,4,0.2,rule_agnostic_partial_identification,250,1,1,1
20264716,4,0.2,rule_aware_partial_identification,250,0.796,0.936,0.811633107358
20264716,5,0,rule_agnostic_partial_identification,250,1,1,1
20264716,5,0,rule_aware_partial_identification,250,1,1,0.845730465319
20264716,5,0.05,rule_agnostic_partial_identification,250,1,1,1
20264716,5,0.05,rule_aware_partial_identification,250,0.952,0.976,0.849678273088
20264716,5,0.1,rule_agnostic_partial_identification,250,1,1,1
20264716,5,0.1,rule_aware_partial_identification,250,0.88,0.968,0.839747803787
20264716,5,0.2,rule_agnostic_partial_identification,250,1,1,1
20264716,5,0.2,rule_aware_partial_identification,250,0.788,0.9,0.830750847973
20264716,6,0,rule_agnostic_partial_identification,250,1,1,1
20264716,6,0,rule_aware_partial_identification,250,1,1,0.864769083483
20264716,6,0.05,rule_agnostic_partial_identification,250,1,1,1
20264716,6,0.05,rule_aware_partial_identification,250,0.948,0.964,0.862092830384
20264716,6,0.1,rule_agnostic_partial_identification,250,1,1,1
20264716,6,0.1,rule_aware_partial_identification,250,0.888,0.948,0.854506913147
20264716,6,0.2,rule_agnostic_partial_identification,250,1,1,1
20264716,6,0.2,rule_aware_partial_identification,250,0.784,0.916,0.85407069858
20265716,4,0,rule_agnostic_partial_identification,250,1,1,1
20265716,4,0,rule_aware_partial_identification,250,1,1,0.829954608403
20265716,4,0.05,rule_agnostic_partial_identification,250,1,1,1
20265716,4,0.05,rule_aware_partial_identification,250,0.96,0.984,0.823214996495
20265716,4,0.1,rule_agnostic_partial_identification,250,1,1,1
20265716,4,0.1,rule_aware_partial_identification,250,0.9,0.948,0.810031243186
20265716,4,0.2,rule_agnostic_partial_identification,250,1,1,1
20265716,4,0.2,rule_aware_partial_identification,250,0.848,0.912,0.809104521856
20265716,5,0,rule_agnostic_partial_identification,250,1,1,1
20265716,5,0,rule_aware_partial_identification,250,1,1,0.850897849895
20265716,5,0.05,rule_agnostic_partial_identification,250,1,1,1
20265716,5,0.05,rule_aware_partial_identification,250,0.96,0.984,0.843003507339
20265716,5,0.1,rule_agnostic_partial_identification,250,1,1,1
20265716,5,0.1,rule_aware_partial_identification,250,0.908,0.96,0.836503461671
20265716,5,0.2,rule_agnostic_partial_identification,250,1,1,1
20265716,5,0.2,rule_aware_partial_identification,250,0.812,0.94,0.838402322197
20265716,6,0,rule_agnostic_partial_identification,250,1,1,1
20265716,6,0,rule_aware_partial_identification,250,1,1,0.864256386982
20265716,6,0.05,rule_agnostic_partial_identification,250,1,1,1
20265716,6,0.05,rule_aware_partial_identification,250,0.936,0.976,0.863252737552
20265716,6,0.1,rule_agnostic_partial_identification,250,1,1,1
20265716,6,0.1,rule_aware_partial_identification,250,0.896,0.948,0.857296624646
20265716,6,0.2,rule_agnostic_partial_identification,250,1,1,1
20265716,6,0.2,rule_aware_partial_identification,250,0.788,0.904,0.846756858669
20266716,4,0,rule_agnostic_partial_identification,250,1,1,1
20266716,4,0,rule_aware_partial_identification,250,1,1,0.825593232625
20266716,4,0.05,rule_agnostic_partial_identification,250,1,1,1
20266716,4,0.05,rule_aware_partial_identification,250,0.948,0.984,0.821497673427
20266716,4,0.1,rule_agnostic_partial_identification,250,1,1,1
20266716,4,0.1,rule_aware_partial_identification,250,0.88,0.952,0.810163542524
20266716,4,0.2,rule_agnostic_partial_identification,250,1,1,1
20266716,4,0.2,rule_aware_partial_identification,250,0.804,0.888,0.801604988565
20266716,5,0,rule_agnostic_partial_identification,250,1,1,1
20266716,5,0,rule_aware_partial_identification,250,1,1,0.846748007193
20266716,5,0.05,rule_agnostic_partial_identification,250,1,1,1
20266716,5,0.05,rule_aware_partial_identification,250,0.952,0.98,0.846115552817
20266716,5,0.1,rule_agnostic_partial_identification,250,1,1,1
20266716,5,0.1,rule_aware_partial_identification,250,0.912,0.964,0.842626985523
20266716,5,0.2,rule_agnostic_partial_identification,250,1,1,1
20266716,5,0.2,rule_aware_partial_identification,250,0.82,0.904,0.8302527441
20266716,6,0,rule_agnostic_partial_identification,250,1,1,1
20266716,6,0,rule_aware_partial_identification,250,1,1,0.863618303351
20266716,6,0.05,rule_agnostic_partial_identification,250,1,1,1
20266716,6,0.05,rule_aware_partial_identification,250,0.952,0.976,0.862057728131
20266716,6,0.1,rule_agnostic_partial_identification,250,1,1,1
20266716,6,0.1,rule_aware_partial_identification,250,0.892,0.952,0.861296590274
20266716,6,0.2,rule_agnostic_partial_identification,250,1,1,1
20266716,6,0.2,rule_aware_partial_identification,250,0.808,0.92,0.85374885774
20267716,4,0,rule_agnostic_partial_identification,250,1,1,1
20267716,4,0,rule_aware_partial_identification,250,1,1,0.827673575499
20267716,4,0.05,rule_agnostic_partial_identification,250,1,1,1
20267716,4,0.05,rule_aware_partial_identification,250,0.916,0.956,0.815336536962
20267716,4,0.1,rule_agnostic_partial_identification,250,1,1,1
20267716,4,0.1,rule_aware_partial_identification,250,0.9,0.968,0.815559248217
20267716,4,0.2,rule_agnostic_partial_identification,250,1,1,1
