n_active,outcome_noise_probability,denominator,undefined_rows,accepted_draws_median,accepted_draws_min,undefined_rate
4,0,5000,3,3999,56,0.0006
4,0.05,5000,4,3967.5,8,0.0008
4,0.1,5000,9,3856,0,0.0018
4,0.2,5000,15,3718,8,0.003
5,0,5000,3,3676,12,0.0006
5,0.05,5000,6,3619,6,0.0012
5,0.1,5000,12,3568.5,0,0.0024
5,0.2,5000,17,3451,1,0.0034
6,0,5000,4,3452,20,0.0008
6,0.05,5000,3,3400,17,0.0006
6,0.1,5000,5,3362,6,0.001
6,0.2,5000,13,3216.5,0,0.0026
