figure,source,source_sha256,source_rows,validation
3,outputs/tables/discretion_identifiability_summary.csv,8512df16c9140815790d86fac7977946ec531425b48d16d1d6b2576b9a4a27cc,5,PASS_READ_DIRECTLY_FROM_TRACKED_CSV
4,outputs/tables/value_of_disclosure.csv,71e5be8ef67a1dc634ed1ad306562a764a799e2330cfce8da08f666def0ee040,7,PASS_READ_DIRECTLY_FROM_TRACKED_CSV
5,outputs/tables/rule_robustness_index.csv,9171f0b227151098b1fab8393064b73cc7a0f8f0b468c325fd050f8ce289a1bc,4,PASS_READ_DIRECTLY_FROM_TRACKED_CSV
6,outputs/stage26X-1/tables/Table4_multiseed.csv,ff70ea1496853db01267f4edd9942b405b24168e28be9de59b9ec9557078100f,48,PASS_READ_DIRECTLY_FROM_TRACKED_CSV
7,outputs/stage26X-1/tables/Table5_multiseed.csv,485563b5486a8f127ab3b6cec2baaa2556565821069f41ebd340b7e365c84899,9,PASS_READ_DIRECTLY_FROM_TRACKED_CSV
8,outputs/tables/dss_evaluation_metrics.csv,16552cdc3af1c16f8d7fe04b1741e3800707500e84b16923ff9b39835f094da6,8,PASS_READ_DIRECTLY_FROM_TRACKED_CSV
